"HGNC","ENSG"
"PDK4","ENSG00000004799"
"PDK2","ENSG00000005882"
"MDH1","ENSG00000014641"
"CS","ENSG00000062485"
"PDK3","ENSG00000067992"
"SDHA","ENSG00000073578"
"ACACB","ENSG00000076555"
"DLD","ENSG00000091140"
"FH","ENSG00000091483"
"ACO2","ENSG00000100412"
"OGDH","ENSG00000105953"
"PDHX","ENSG00000110435"
"LDHB","ENSG00000111716"
"GLS","ENSG00000115419"
"SDHB","ENSG00000117118"
"DLST","ENSG00000119689"
"GOT1","ENSG00000120053"
"ACO1","ENSG00000122729"
"GOT2","ENSG00000125166"
"CLYBL","ENSG00000125246"
"ACLY","ENSG00000131473"
"PDHA1","ENSG00000131828"
"LDHA","ENSG00000134333"
"LDHA","ENSG00000288299"
"GLUL","ENSG00000135821"
"MDH1B","ENSG00000138400"
"IDH1","ENSG00000138413"
"SDHC","ENSG00000143252"
"MMUT","ENSG00000146085"
"MDH2","ENSG00000146701"
"GLUD1","ENSG00000148672"
"DLAT","ENSG00000150768"
"PDK1","ENSG00000152256"
"SDHAF4","ENSG00000154079"
"SUCLG1","ENSG00000163541"
"PDP1","ENSG00000164951"
"LDHC","ENSG00000166796"
"LDHD","ENSG00000166816"
"SDHAF2","ENSG00000167985"
"PDHB","ENSG00000168291"
"SUCLG2","ENSG00000172340"
"PC","ENSG00000173599"
"DHTKD1","ENSG00000181192"
"IDH2","ENSG00000182054"
"GLUD2","ENSG00000182890"
"GLUD2","ENSG00000288118"
"SDHAF3","ENSG00000196636"
"SDHD","ENSG00000204370"
"SDHAF1","ENSG00000205138"
"GLUD2","ENSG00000182890"
"GLUD2","ENSG00000288118"
"LDHA","ENSG00000134333"
"LDHA","ENSG00000288299"
"ADSL","ENSG00000239900"
"IDH3B","ENSG00000101365"
"PCK2",NA
"PCK1",NA
"PDHA2",NA
"SUCLG2P2",NA
"IDH3A","ENSG00000166411"
"SUCLA2","ENSG00000136143"
"IDH3G","ENSG00000067829"
