"","ENSG","HGNC","mma_id","prot_lvl","rna_lvl","sample_no","type","type2"
"1","ENSG00000014641","MDH1","MMA001",456702.65625,29.71590207,1,"MMUT","MMUT"
"2","ENSG00000014641","MDH1","MMA002",267533.15625,25.69593481,2,"MMUT","MMUT"
"3","ENSG00000014641","MDH1","MMA003",547484.4375,26.04354281,3,"MMUT","MMUT"
"4","ENSG00000014641","MDH1","MMA004",576014.5,22.32382513,4,"MMUT","MMUT"
"5","ENSG00000014641","MDH1","MMA005",512393.15625,17.33248777,5,"MMUT","MMUT"
"6","ENSG00000014641","MDH1","MMA006",529452.6875,21.89010926,6,"MMUT","MMUT"
"7","ENSG00000014641","MDH1","MMA007",359185.125,22.39982756,7,"MMUT","MMUT"
"8","ENSG00000014641","MDH1","MMA008",369604.34375,21.4772201,8,"MMUT","MMUT"
"9","ENSG00000014641","MDH1","MMA009",695195.6875,28.67432442,9,"MMUT","MMUT"
"10","ENSG00000014641","MDH1","MMA010",483926.6875,24.22478225,10,"MMUT","MMUT"
"11","ENSG00000014641","MDH1","MMA011",347996.59375,21.03849914,11,"MMUT","MMUT"
"12","ENSG00000014641","MDH1","MMA012",435920.9375,19.62194596,12,"MMUT","MMUT"
"13","ENSG00000014641","MDH1","MMA013",490750.84375,27.64740112,13,"MMUT","MMUT"
"14","ENSG00000014641","MDH1","MMA014",437556.9375,26.29174944,14,"MMUT","MMUT"
"15","ENSG00000014641","MDH1","MMA015",310089.375,27.26870474,15,"MMUT","MMUT"
"16","ENSG00000014641","MDH1","MMA016",188799.265625,28.54794619,16,"MMUT","MMUT"
"17","ENSG00000014641","MDH1","MMA017",546886.0625,21.99050511,17,"MMUT","MMUT"
"18","ENSG00000014641","MDH1","MMA018",641342.25,21.3486757,18,"MMUT","MMUT"
"19","ENSG00000014641","MDH1","MMA019",393632.5,24.19671919,19,"MMUT","MMUT"
"20","ENSG00000014641","MDH1","MMA020",406192.90625,19.37816612,20,"MMUT","MMUT"
"21","ENSG00000014641","MDH1","MMA021",434263.21875,21.18924759,21,"MMUT","MMUT"
"22","ENSG00000014641","MDH1","MMA023",464465.75,17.9297903,23,"MMUT","MMUT"
"23","ENSG00000014641","MDH1","MMA024",407970.125,20.67712042,24,"MMUT","MMUT"
"24","ENSG00000014641","MDH1","MMA025",492117.75,25.03225038,25,"MMUT","MMUT"
"25","ENSG00000014641","MDH1","MMA026",314598.90625,21.43400867,26,"MMUT","MMUT"
"26","ENSG00000014641","MDH1","MMA027",312519.03125,19.63376863,27,"MMUT","MMUT"
"27","ENSG00000014641","MDH1","MMA028",233689.265625,24.43252704,28,"MMUT","MMUT"
"28","ENSG00000014641","MDH1","MMA029",293032.6875,19.52330879,29,"MMUT","MMUT"
"29","ENSG00000014641","MDH1","MMA030",327215.0625,28.16662563,30,"MMUT","MMUT"
"30","ENSG00000014641","MDH1","MMA031",261338.859375,33.49029713,31,"MMUT","MMUT"
"31","ENSG00000014641","MDH1","MMA032",318070.3125,22.69109612,32,"MMUT","MMUT"
"32","ENSG00000014641","MDH1","MMA033",336029.09375,25.95603892,33,"MMUT","MMUT"
"33","ENSG00000014641","MDH1","MMA034",350582.5625,25.14145968,34,"MMUT","MMUT"
