# Ouput of picard tools CollectWgsMetrics and CollectAlignmentSummaryMetrics (here only for paired reads) for the MMA samples.  
SAMPLE_NAME	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
MMA001	2900434419	33.602934	10.611965	34	5	0.046997	0.107343	0	0.022765	0.005054	0.012732	0.19489	0.980901	0.977096	0.973323	0.967474	0.952275	0.899892	0.742725	0.209232	0.018123	0.004653	0.003303	0.002481	0.001983	0.001632	PAIR	815090392	815090392	1	0	813644996	0.998227	120880693612	772969900	115363016195	112089962512	0	0.003937	0.003413	0.000205	150	812262880	0.998301	0	0.501277	0.002572	0	NA	NA	NA
MMA002	2900434419	32.49797	10.666405	33	5	0.052176	0.103565	0	0.034069	0.003385	0.013855	0.20705	0.981168	0.976537	0.971376	0.960792	0.93824	0.870946	0.689994	0.172861	0.014118	0.004101	0.00301	0.002303	0.001836	0.001511	PAIR	807639344	807639344	1	0	804720547	0.996386	118643945472	758330523	112664386484	107905108078	0	0.005651	0.004986	0.000224	150	801933506	0.996537	0	0.503272	0.011051	2e-06	NA	NA	NA
MMA003	2900434419	29.432111	9.960897	30	4	0.049447	0.101569	0	0.030921	0.001901	0.014061	0.197898	0.981644	0.97698	0.971047	0.95732	0.917808	0.785097	0.514635	0.072237	0.006669	0.003521	0.002488	0.001887	0.001533	0.001297	PAIR	722626794	722626794	1	0	716998540	0.992211	106255620505	678594940	101161886134	97320805527	0	0.004908	0.004287	0.000209	150	715088170	0.997336	0	0.501984	0.003613	0	NA	NA	NA
MMA004	2900434419	41.172356	13.336042	42	6	0.054493	0.05834	0	0.029775	0.029634	0.01593	0.188172	0.986973	0.982991	0.979245	0.971462	0.949057	0.915376	0.877486	0.627482	0.184347	0.022217	0.00589	0.004395	0.00351	0.002816	PAIR	1000028362	1000028362	1	0	992767779	0.99274	146836669152	933784813	139078776848	134307936471	0	0.004697	0.004084	0.000213	150	990157954	0.997371	0	0.502096	0.009398	6e-06	NA	NA	NA
MMA005	2900434419	33.232183	11.367189	34	5	0.053406	0.110838	0	0.028505	0.00317	0.015972	0.211892	0.987039	0.982675	0.976195	0.955062	0.914853	0.855864	0.716659	0.222718	0.02201	0.005125	0.003684	0.002834	0.002236	0.001816	PAIR	827979648	827979648	1	0	823931598	0.995111	122098058341	776457113	115766887657	111624537780	0	0.004682	0.004038	0.000214	150	821832502	0.997452	0	0.501929	0.004149	0	NA	NA	NA
MMA006	2900434419	32.027615	11.003827	33	5	0.057445	0.086927	0	0.030434	0.002593	0.015841	0.193239	0.987358	0.982678	0.975029	0.95047	0.9062	0.832354	0.663391	0.175627	0.015741	0.004384	0.003104	0.002312	0.001833	0.00151	PAIR	782431104	782431104	1	0	778876730	0.995457	114867666895	729185936	108526861485	104508465044	0	0.005063	0.004371	0.000229	150	775425100	0.995568	0	0.502911	0.016603	2e-06	NA	NA	NA
MMA007	2900434419	42.170041	12.535429	43	5	0.048205	0.091976	0	0.024675	0.00307	0.014032	0.181958	0.982043	0.978468	0.975367	0.972078	0.966725	0.955254	0.925148	0.657268	0.195889	0.024264	0.005866	0.00416	0.003281	0.002615	PAIR	1007394486	1007394486	1	0	1005360544	0.997981	149291362609	953600986	142305929837	138022092343	0	0.004035	0.003457	0.00021	150	1003448318	0.998098	0	0.501316	0.002377	0	NA	NA	NA
MMA008	2900434419	32.578541	10.672016	33	5	0.051335	0.048842	0	0.030002	0.003612	0.015756	0.149547	0.981469	0.977296	0.972545	0.962809	0.941108	0.873882	0.691587	0.173528	0.014652	0.004293	0.003131	0.002398	0.001928	0.0016	PAIR	748717904	748717904	1	0	746904344	0.997578	110939175870	706098373	105402054165	101813756937	0	0.004231	0.003617	0.000213	150	745361808	0.997935	0	0.501323	0.011004	0	NA	NA	NA
MMA009	2900434419	32.900228	10.895206	33	5	0.052058	0.063236	0	0.034265	0.003834	0.016288	0.169682	0.981789	0.977432	0.972597	0.962779	0.940912	0.877162	0.704866	0.18807	0.016629	0.004688	0.00347	0.002712	0.002218	0.001846	PAIR	786682274	786682274	1	0	776164438	0.98663	114700051603	731582601	108940122431	104613897019	0	0.005047	0.004412	0.000215	150	773396454	0.996434	0	0.502905	0.00452	2e-06	NA	NA	NA
MMA010	2900434419	21.399699	8.093089	22	4	0.051959	0.109758	0	0.028283	0.004274	0.01608	0.210355	0.980841	0.974646	0.959447	0.891194	0.646644	0.289432	0.075072	0.005005	0.00286	0.002046	0.001551	0.001228	0.001017	0.000855	PAIR	531370572	531370572	1	0	529983074	0.997389	78467932273	500220481	74516527700	71903781700	0	0.004642	0.004015	0.000211	150	528680464	0.997542	0	0.501889	0.006222	0	NA	NA	NA
